iter	RMSE
0	14.28268041
1	13.36465474
2	12.47275524
3	11.71655209
4	11.00368779
5	10.46577676
6	9.947212369
7	9.439434757
8	9.013965198
9	8.62207367
10	8.233336938
11	7.940530747
12	7.662374903
13	7.391487148
14	7.158077655
15	6.961301138
16	6.772222338
17	6.617959381
18	6.472339205
19	6.34115974
20	6.214457466
21	6.114798654
22	6.02313073
23	5.936263979
24	5.863168372
25	5.813457703
26	5.737704704
27	5.679311123
28	5.632386507
29	5.586124439
30	5.549296138
31	5.503332723
32	5.461548342
33	5.424670498
34	5.381059394
35	5.361030246
36	5.338434826
37	5.319821564
38	5.299793547
39	5.273713458
40	5.252079257
41	5.233863755
42	5.215464941
43	5.203988513
44	5.175327528
45	5.158952633
46	5.142454978
47	5.123484735
48	5.113525978
49	5.095878127
50	5.070155276
51	5.049251266
52	5.032238039
53	5.029916664
54	5.024744965
55	5.011261603
56	5.003574753
57	4.992556041
58	4.968973774
59	4.951802358
60	4.944048121
61	4.92228113
62	4.910085721
63	4.903584848
64	4.890738769
65	4.878486865
66	4.865795921
67	4.857573047
68	4.846353138
69	4.838785743
70	4.827199188
71	4.813824428
72	4.804777452
73	4.793841384
74	4.784199144
75	4.770315689
76	4.764492513
77	4.749448256
78	4.726472034
79	4.721716512
80	4.711704441
81	4.70163196
82	4.688618799
83	4.679017012
84	4.671609552
85	4.666030864
86	4.659883812
87	4.648163396
88	4.63799203
89	4.628115511
90	4.62636072
91	4.616461452
92	4.604751306
93	4.594331474
94	4.589009347
95	4.581103119
96	4.578169007
97	4.563300833
98	4.549275854
99	4.544489561
